Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Road Access,Build Up Area,Posted Date,Price,District,Location
5,4,3.0,1,East,,0-3-1-0 Aana,13 Feet / Paved,N/A Aana,1 week ago,"NPR. 3,20,00,000 Onwards",Lalitpur,Imadol
4,4,,1,South East,,4 Aana,13 Feet,2100 Sq. Feet,1 month ago,"NPR. 3,15,00,000 Onwards",Lalitpur,Satdobato
5,3,2.0,4,East,,0-4-0-0 Aana,8 Feet / Gravelled,1369.181 Sq. Feet,1 day ago,"NPR. 2,70,00,000 Onwards",Kathmandu,Budhanilkantha
4,4,3.0,1,East,2078.0,0-3-0-0 to 0-4-0-0 Aana,13 Feet / Gravelled,N/A Aana,2 years ago,"NPR. 2,10,00,000 Onwards",Lalitpur,Imadol
0,3,2.0,1,West,2077.0,3 aana 1 paisa Aana,13 Feet / Gravelled,0 Aana,1 month ago,"NPR. 2,00,00,000 Onwards",Lalitpur,Lubhu
0,0,,0,South,,0-2-3-2 Aana,0 Feet,N/A Aana,3 years ago,"NPR. 1,22,00,000",Bhaktapur,Suryabinayak
0,0,,0,South,,0-2-3-0 Aana,0 Feet,N/A Aana,3 years ago,"NPR. 1,22,00,000",Bhaktapur,Suryabinayak
5,4,3.0,5,West,,3 Aana,16 Feet,3 Aana,2 weeks ago,"NPR. 2,97,00,000 Per Aana",Lalitpur,Sano Gaun
4,5,2.0,4,North,,0-5-5-0 Aana,13 Feet / Paved,0-5-5-0 Aana,2 weeks ago,"NPR. 6,50,00,000 Onwards",Lalitpur,Bhaisepati
5,4,,1,North East,2080.0,0.3.0.0 Aana,13 Feet / Gravelled,2450 Aana,6 months ago,"NPR. 2,75,00,000 Onwards",Kathmandu,Sitapaila
4,3,2.0,0,East,2077.0,0-3-0-0 Aana,20 Feet / Soil Stabilized,95 Sq. Meter,10 months ago,"NPR. 1,75,00,000 Onwards",Bhaktapur,Bageshwori
5,4,2.0,1,South,,3-1 Aana,0 Feet / Paved,2000 Sq. Feet,1 week ago,"NPR. 2,95,00,000 Onwards",Lalitpur,Imadol
6,3,3.0,1,East,2080.0,0-3-2-1 Aana,13 Feet / Paved,N/A Aana,2 weeks ago,"NPR. 2,25,00,000",Lalitpur,Tikathali
4,4,2.5,1,West,2080.0,0-3-0-0 Aana,13 Feet / Blacktopped,N/A Aana,4 weeks ago,"NPR. 2,40,00,000",Lalitpur,Imadol
5,3,2.5,1,East,2080.0,0-5-3-3.70 Aana,20 Feet / Blacktopped,"1,980.28 Aana",2 months ago,"NPR. 4,48,00,000",Lalitpur,Sunakothi
5,3,3.0,1,East,2023.0,3 Aana,10 Feet / Gravelled,2100 Sq. Feet,3 months ago,"NPR. 2,25,00,000 Onwards",Kathmandu,Kapan
