Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Posted Date,Price,District,Location,Road Distance,Type of Road
2,1,1.5,1,South,2076.0,983.96,4 years ago,11500000,Lalitpur,Tikathali,13,Gravelled
4,4,3.0,2,East,2078.0,1197.87,2 years ago,24500000,Lalitpur,Imadol,13,Gravelled
3,4,,3,East,2072.0,1625.68,4 years ago,35000000,Bhaktapur,Madhyapur Thimi,30,Blacktopped
4,4,2.5,2,South West,2074.0,1925.15,2 months ago,41500000,Kathmandu,Sitapaila,20,Blacktopped
2,1,1.5,2,South West,2076.0,1369.0,4 years ago,15500000,Kathmandu,Kadaghari,20,Gravelled
5,4,3.0,3,East,,1026.75,2 days ago,25500000,Lalitpur,Imadol,13,
6,6,2.5,1,West,2080.0,1540.12,5 days ago,38000000,Kathmandu,Budhanilkantha,13,Concrete
4,4,3.0,1,West,2080.0,1711.25,2 days ago,40000000,Kathmandu,Budhanilkantha,30,Blacktopped
8,0,,0,North,,1048.14,4 years ago,16500000,Kathmandu,Gothatar,13,Gravelled
3,4,2.5,2,West,2074.0,1262.04,2 months ago,34100000,Kathmandu,Sitapaila,20,Blacktopped
0,0,,0,South,,2310.18,4 years ago,36000000,Kathmandu,Gothatar,20,Gravelled
0,0,,0,North,,1283.43,4 years ago,24000000,Kathmandu,Sukedhara,13,Soil Stabilized
4,2,2.0,1,West,,1925.15,3 years ago,25500000,Kathmandu,Syuchatar,0,
0,0,,0,East,,1112.31,4 years ago,23500000,Kathmandu,Basundhara,15,Blacktopped
4,5,2.5,2,South West,2080.0,2823.56,2 months ago,67600000,Kathmandu,Budhanilkantha,20,Blacktopped
0,0,,0,South,,598.9300000000001,4 years ago,25000000,Kathmandu,Kalimati,9,Blacktopped
3,4,3.5,1,North,2078.0,2203.23,1 year ago,53600000,Kathmandu,Sitapaila,20,Paved
5,4,2.5,2,East,2077.0,1026.75,3 years ago,19500000,Lalitpur,Imadol,12,Gravelled
6,3,2.5,1,West,2080.0,1540.12,5 days ago,38500000,Kathmandu,Kapan,12,Concrete
5,4,2.5,1,East,2080.0,1197.87,2 months ago,29500000,Kathmandu,Kapan,13,Concrete
5,4,3.0,0,East,,2566.87,4 years ago,30000000,Bhaktapur,Kausaltar,15,Blacktopped
4,4,2.5,1,East,,1454.56,1 year ago,35000000,Kathmandu,Baniyatar,16,Blacktopped
4,3,3.0,1,South,,1369.0,8 months ago,38000000,Kathmandu,Budhanilkantha,16,Blacktopped
5,6,2.5,1,West,,1197.87,4 weeks ago,50000000,Kathmandu,Ravi Bhawan,32,Blacktopped
7,5,2.0,3,East,,1625.68,1 week ago,46000000,Kathmandu,Budhanilkantha,14,Gravelled
6,5,3.0,3,East,2076.0,1369.0,4 years ago,38700000,Kathmandu,Baneshwor,15,Blacktopped
4,4,3.0,3,East,,1197.87,1 week ago,41000000,Kathmandu,Soltimode,0,
3,3,3.0,1,South,,855.62,8 months ago,22500000,Kathmandu,Sitapaila,10,Gravelled
6,5,4.0,0,South West,,2139.06,4 years ago,37500000,Lalitpur,Khumaltar,13,
3,3,2.5,2,West,2074.0,1369.0,2 months ago,34650000,Kathmandu,Sitapaila,20,Blacktopped
6,5,3.0,2,North,2078.0,1369.0,2 years ago,37500000,Kathmandu,Budhanilkantha,13,Gravelled
4,4,2.5,2,West,2074.0,1197.87,2 months ago,34650000,Kathmandu,Sitapaila,20,Blacktopped
5,5,3.0,2,South,,1090.92,2 days ago,31500000,Lalitpur,Imadol,13,Paved
6,4,3.0,1,South West,,1711.25,1 month ago,37000000,Kathmandu,Kapan,20,Blacktopped
6,3,3.0,1,East,2076.0,1197.87,4 years ago,22500000,Lalitpur,Tikathali,12,Blacktopped
0,0,,0,East,,1026.75,4 years ago,18200000,Kathmandu,Kapan,13,Blacktopped
5,3,2.5,1,West,2077.0,1026.75,3 years ago,20000000,Lalitpur,Imadol,13,Gravelled
4,3,2.5,1,South,2076.0,1026.75,4 years ago,19000000,Lalitpur,Imadol,13,Gravelled
5,3,2.5,1,East,2076.0,1026.75,4 years ago,16000000,Kathmandu,Tinthana,13,Blacktopped
7,3,2.5,2,West,2076.0,1240.65,4 years ago,35000000,Kathmandu,Sankhamul,12,Paved
5,4,2.5,0,East,2080.0,1625.68,2 weeks ago,55000000,Kathmandu,Chhauni,10,Gravelled
3,9,3.0,0,North East,2076.0,941.18,4 years ago,13500000,Lalitpur,Imadol,10,Soil Stabilized
9,7,5.0,0,North,,1133.7,2 years ago,35000000,Kathmandu,Baghbazaar,10,Blacktopped
6,5,4.0,3,North East,2079.0,1711.25,1 year ago,43500000,Kathmandu,Budhanilkantha,13,Blacktopped
4,4,3.0,2,East,2078.0,1197.87,2 years ago,22500000,Lalitpur,Imadol,13,Soil Stabilized
6,5,3.0,3,West,2076.0,3058.85,3 years ago,57500000,Lalitpur,Nakhipot,20,Blacktopped
4,4,2.5,1,East,,1411.78,1 week ago,39000000,Kathmandu,Budhanilkantha,20,Blacktopped
5,4,2.5,5,South,,5133.75,9 months ago,115000000,Kathmandu,Sanobharyang,20,Blacktopped
8,0,,0,West,,1197.87,4 years ago,18500000,Kathmandu,Naikap,12,
5,3,2.5,1,West,2077.0,1112.31,3 years ago,25000000,Lalitpur,Imadol,20,Gravelled
