Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
6,5,3.0,2,East,2080.0,1369.0,0000 Aana,3 months ago,33500000,Kathmandu,Kapan,14,Paved
4,3,,1,West,2075.0,1112.31,N/A Sq. Feet,3 months ago,27500000,Kathmandu,Sitapaila,16,Blacktopped
4,4,3.0,1,East,2078.0,1026.75,1700 Aana,2 years ago,21000000,Lalitpur,Imadol,13,Soil Stabilized
5,4,2.5,1,North East,2080.0,1454.56,N/A Sq. Feet,3 months ago,58000000,Kathmandu,Thulo Bharyang,16,Concrete
7,5,3.0,1,South,2080.0,1369.0,N/A Aana,2 months ago,41500000,Lalitpur,Imadol,13,Concrete
3,3,2.0,2,South West,2075.0,1711.25,2300 Sq. Feet,2 years ago,24500000,Bhaktapur,Sirutar,13,Paved
0,0,,0,West,,1369.0,N/A Sq. Feet,2 years ago,21500000,Bhaktapur,Balkot,13,
4,3,2.5,1,South West,2070.0,1197.87,N/A Sq. Feet,3 months ago,28500000,Kathmandu,Swayambhu,13,Concrete
6,5,2.0,0,West,,2909.12,2909.509 Sq. Feet,1 day ago,78500000,Kathmandu,Budhanilkantha,16,Blacktopped
5,3,2.5,1,South,2080.0,1561.51,"1,980.28 Aana",2 months ago,39000000,Lalitpur,Sunakothi,20,Blacktopped
0,0,,0,East,,1369.0,N/A Sq. Feet,3 years ago,14500000,Bhaktapur,Bhaktapur,10,
5,4,2.0,4,West,,2759.39,2759.782 Sq. Feet,2 weeks ago,29000000,Lalitpur,Imadol,13,Paved
5,5,2.5,3,North,,2053.5,2200 Aana,1 year ago,45000000,Lalitpur,Hattiban,16,Blacktopped
5,5,2.0,7,South East,,6673.87,6673.895 Sq. Feet,1 day ago,152500000,Kathmandu,Naxal,18,Blacktopped
3,4,3.0,6,North,,1925.1499999999999,1925.464 Sq. Feet,1 week ago,53000000,Bhaktapur,Balkot,24,Blacktopped
4,4,2.5,1,East,,1026.75,1927 Sq. Feet,8 months ago,24500000,Lalitpur,Imadol,13,Soil Stabilized
2,1,1.0,1,West,2080.0,983.96,N/A Aana,1 week ago,16000000,Lalitpur,Tikathali,13,Paved
10,3,3.0,2,East,2077.0,1283.43,2565.09 Aana,2 years ago,21000000,Bhaktapur,Changunarayan,10,Gravelled
6,4,2.5,1,West,2077.0,1112.31,N/A Aana,2 months ago,27000000,Lalitpur,Imadol,13,Concrete
0,0,,0,West,,941.1800000000001,N/A Sq. Feet,2 years ago,16500000,Bhaktapur,Suryabinayak,16,
0,0,,0,North West,,1540.12,N/A Sq. Feet,2 years ago,19000000,Bhaktapur,Bhaktapur,0,
4,3,2.5,2,North East,,1369.0,1800 Sq. Feet,6 months ago,60000000,Kathmandu,Tahachal,20,Blacktopped
4,4,,4,South East,,3080.25,2900 Sq. Feet,3 months ago,87500000,Lalitpur,Bhaisepati,16,
7,3,2.5,1,West,,1540.12,N/A Sq. Feet,3 months ago,30000000,Kathmandu,Sitapaila,16,Blacktopped
4,4,3.0,2,East,2078.0,1048.14,2250 Aana,2 years ago,24500000,Lalitpur,Imadol,13,Gravelled
5,4,,1,South,,1090.92,2160 Sq. Feet,2 months ago,26500000,Lalitpur,Tikathali,11,
9,9,4.5,3,East,,3422.5,N/A Aana,8 months ago,70000000,Lalitpur,Satdobato,13,Blacktopped
4,3,2.5,1,South,2080.0,1369.0,N/A Aana,1 month ago,26000000,Lalitpur,Dhapakhel,18,Gravelled
5,3,2.5,1,West,2080.0,2246.0099999999998,"2,148.49 Aana",2 months ago,49200000,Lalitpur,Sunakothi,20,Blacktopped
4,4,3.0,1,West,2078.0,1369.0,2300 Sq. Feet,2 months ago,45000000,Kathmandu,Budhanilkantha,20,Blacktopped
6,3,,2,South,,1497.34,N/A Aana,2 years ago,18500000,Kathmandu,Tarkeshwor,10,Paved
6,5,3.0,2,North,2078.0,1369.0,2300 Sq. Feet,2 years ago,33500000,Kathmandu,Budhanilkantha,13,Gravelled
4,3,2.0,0,East,,1411.78,N/A Aana,4 years ago,10000000,Dhading,Dhading,7,Gravelled
4,5,2.5,2,South West,2080.0,2823.56,3755 Sq. Feet,2 months ago,67700000,Kathmandu,Budhanilkantha,20,Blacktopped
0,0,,0,South,,855.62,N/A Aana,4 years ago,15000000,Lalitpur,Imadol,13,Gravelled
7,2,3.0,0,South,,1326.21,N/A Aana,4 years ago,22500000,Lalitpur,Imadol,13,Gravelled
11,5,3.5,2,South,2052.0,1369.0,N/A Aana,3 years ago,28500000,Kathmandu,Baneshwor,20,Blacktopped
7,5,2.5,3,South East,,3593.62,2700 Sq. Feet,4 months ago,80000000,Kathmandu,Budhanilkantha,23,Concrete
2,1,1.0,0,East,,1347.6000000000001,N/A Aana,4 years ago,13000000,Lalitpur,Imadol,13,Gravelled
7,3,2.5,1,North,2066.0,1711.25,N/A Aana,4 years ago,39000000,Kathmandu,Baluwatar,10,Blacktopped
2,1,1.0,3,East,,1197.87,1198.033 Sq. Feet,2 days ago,17000000,Lalitpur,Tikathali,13,Blacktopped
6,3,3.0,2,East,2069.0,1026.75,N/A Aana,3 years ago,19000000,Kathmandu,Boudha,8,Blacktopped
6,3,2.5,1,West,2080.0,1026.75,N/A Aana,1 day ago,26000000,Lalitpur,Tikathali,13,Concrete
5,4,3.0,3,South,2078.0,1197.87,2267 Aana,2 years ago,32500000,Kathmandu,Thulo Bharyang,13,Paved
8,3,,0,South,,1026.75,N/A Aana,4 years ago,17000000,Lalitpur,Tikathali,13,Blacktopped
0,0,,0,East,,898.4,N/A Aana,4 years ago,8500000,Bhaktapur,Madhyapur Thimi,26,Soil Stabilized
5,5,3.0,1,South East,2080.0,1540.12,2400 Aana,11 months ago,38500000,Kathmandu,Budhanilkantha,13,Gravelled
